scenario_id,num_of_threads,bucket,query_id,cartesian_product,probability,running_time,improvement_factor
1,1,1,1,64,{0.5=0.9462122925090081},48617,1.000000
1,2,1,1,64,{0.5=0.9462122925090186},25156,1.932620
1,4,1,1,64,{0.5=0.9462122925090192},13173,3.690655
1,6,1,1,64,{0.5=0.9462122925090165},13087,3.714908
1,8,1,1,64,{0.5=0.9462122925090148},7369,6.597503
1,10,1,1,64,{0.5=0.9462122925090136},7143,6.806244
1,12,1,1,64,{0.5=0.9462122925090045},7528,6.458156
1,14,1,1,64,{0.5=0.9462122925090143},7032,6.913681
1,16,1,1,64,{0.5=0.9462122925090137},7208,6.744867
1,18,1,1,64,{0.5=0.9462122925090148},7039,6.906805
1,20,1,1,64,{0.5=0.9462122925090143},7539,6.448733
1,22,1,1,64,{0.5=0.9462122925090144},7112,6.835911
1,24,1,1,64,{0.5=0.9462122925090155},7446,6.529277
2,1,1,1,112,{0.5=0.9930505519761129},55105,1.000000
2,2,1,1,112,{0.5=0.9930505519761009},28934,1.904507
2,4,1,1,112,{0.5=0.993050551976102},15233,3.617475
2,6,1,1,112,{0.5=0.9930505519760965},15241,3.615577
2,8,1,1,112,{0.5=0.993050551976096},8764,6.287654
2,10,1,1,112,{0.5=0.9930505519760965},8413,6.549982
2,12,1,1,112,{0.5=0.9930505519760965},8687,6.343387
2,14,1,1,112,{0.5=0.993050551976095},8840,6.233597
2,16,1,1,112,{0.5=0.9930505519760968},9120,6.042215
2,18,1,1,112,{0.5=0.9930505519760966},8581,6.421746
2,20,1,1,112,{0.5=0.9930505519760947},8840,6.233597
2,22,1,1,112,{0.5=0.9930505519760949},8518,6.469242
2,24,1,1,112,{0.5=0.9930505519760958},8739,6.305641
3,1,1,1,56,{0.5=0.10195292805113082},29601,1.000000
3,2,1,1,56,{0.5=0.10195292805113108},15650,1.891438
3,4,1,1,56,{0.5=0.10195292805113162},8308,3.562951
3,6,1,1,56,{0.5=0.10195292805113049},7652,3.868400
3,8,1,1,56,{0.5=0.10195292805113153},4403,6.722916
3,10,1,1,56,{0.5=0.10195292805113153},4417,6.701607
3,12,1,1,56,{0.5=0.10195292805113092},4401,6.725971
3,14,1,1,56,{0.5=0.10195292805113103},4338,6.823651
3,16,1,1,56,{0.5=0.10195292805113139},4334,6.829949
3,18,1,1,56,{0.5=0.10195292805113154},4343,6.815795
3,20,1,1,56,{0.5=0.10195292805113154},4336,6.826799
3,22,1,1,56,{0.5=0.10195292805113156},4357,6.793895
3,24,1,1,56,{0.5=0.10195292805113154},4366,6.779890
